RDKIT_SMILES,SMILES,MHFP,first_class,second_class,type,num
O=S(=O)(CCCl)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CCS(=O)(=O)CCCl,[111000236  49018156  17313015 ... 171882282  43796935 151237944],Other PFASs,others,4,3008
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(Br)CBr,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(Br)CBr,[250618452 104111782  97181807 ...  19892185 124761079 151237944],Other PFASs,Polyfluoroalkanes,4,3009
OCCCC(F)(OC(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F,OCCCC(F)(OC(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F,[   853465  90791381 107816900 ... 342638462  23638503  10360726],PFAA precursors,PolyFEACs,2,3010
O=P(O)(O)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[NH4+].[NH4+].[O-]P([O-])(=O)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[171249045  71278405  95504826 ... 171882282  43796935 130781908],PFAA precursors,n:2 fluorotelomer-based substances,2,3011
O=C(O)CCNC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,OC(=O)CCNC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[ 39844693   8492060  97181807 ... 194511214 166016711 151237944],Other PFASs,Amide derivatives,4,3012
CO[Si](C)(C)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,CO[Si](C)(C)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[105003417 104111782  97181807 ... 171882282  43796935 151237944],Other PFASs,Si PFASs,4,3013
O=[N+]([O-])c1cccc(C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)c1,[O-][N+](=O)C1=CC(=CC=C1)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[  7060930  96422459 107816900 ... 144813810  72176439 107724166],Other PFASs,Aromatic PFASs,4,3014
OB(O)c1cc(C(F)(C(F)(F)F)C(F)(F)F)cc(C(F)(C(F)(F)F)C(F)(F)F)c1,OB(O)C1=CC(=CC(=C1)C(F)(C(F)(F)F)C(F)(F)F)C(F)(C(F)(F)F)C(F)(F)F,[237301144 173966617 232751249 ...  80652131  57211431 261466434],Other PFASs,Aromatic PFASs,4,3015
CCOC(=O)CNC(=O)C(F)(F)C(F)(F)C(F)(F)F,CCOC(=O)CNC(=O)C(F)(F)C(F)(F)C(F)(F)F,[ 19469312   8492060  14316170 ... 194511214 281920279  69765306],Other PFASs,Amide derivatives,4,3016
C=CCNC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(=O)NCC=C,[ 39844693   8492060  97181807 ... 194511214  26528535  45422808],Other PFASs,Amide derivatives,4,3017
C=CC(=O)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CCOC(=O)C=C,[ 19469312  85244370  18439196 ...  15279529  43796935 151237944],PFAA precursors,n:2 fluorotelomer-based substances,2,3018
CCOP(=O)(CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)OCC,CCOP(=O)(CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)OCC,[199289006  71278405  14316170 ...  96147097   9684535  99487042],Other PFASs,others,4,3019
O[Si](O)(O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,O[Si](O)(O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[ 54712798 104111782    752347 ... 171882282  43796935 131354910],Other PFASs,Si PFASs,4,3020
O=C(O)C(F)(F)C(C(F)(F)F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,OC(=O)C(F)(F)C(C(F)(F)F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,[250618452  75884555  92943922 ...  37687752  75596439 151237944],PFAAs,PFCAs,1,3021
FC(F)(F)C(F)(F)C(F)(F)c1ccc[nH]1,FC(F)(F)C(F)(F)C(F)(F)C1=CC=CN1,[ 73410057  69132682 107816900 ... 166685054  63876583  93702846],Other PFASs,Aromatic PFASs,4,3022
COc1ccc(C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)cc1,COC1=CC=C(C=C1)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[250618452  96422459 107816900 ... 268490958 281920279 107724166],Other PFASs,Aromatic PFASs,4,3023
O=C(O)c1ccnc(C(F)(F)C(F)(F)C(F)(F)F)c1,OC(=O)C1=CC=NC(=C1)C(F)(F)C(F)(F)C(F)(F)F,[183480676 191941852 107816900 ...  17799215  99377687  75798010],Other PFASs,Aromatic PFASs,4,3024
F/C(OC(F)(F)F)=C(/F)C(F)(F)F,F\C(OC(F)(F)F)=C(\F)C(F)(F)F,[ 83061681 361543588 232751249 ...  65874932 172149783 201568010],Other PFASs,others,4,3025
C=C(C)C(=O)SCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F,CC(=C)C(=O)SCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F,[ 43491808  49018156 107816900 ...  88808901  43796935 151237944],Other PFASs,others,4,3026
CC1(COCC(F)(F)C(F)(F)C(F)(F)F)COC1,CC1(COCC(F)(F)C(F)(F)C(F)(F)F)COC1,[ 35941647  73299756  43222809 ... 150165132 281920279  20572198],"PFAA precursors, cyclic","HFEs, cyclic",2,3027
O=C(O)/C(F)=C(\F)C(F)(C(F)(F)F)C(F)(F)F,OC(=O)C(\F)=C(/F)C(F)(C(F)(F)F)C(F)(F)F,[119517527 478127949 155709947 ...  65874932  29861015 201568010],Polyfluoroalkyl acids,PolyFCA derivatives,3,3028
CN(C)CCCNC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,CN(C)CCCNC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[ 39844693   1815513  97181807 ... 194511214 166016711 151237944],Other PFASs,Amide derivatives,4,3029
C=CC(=O)OCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CCCOC(=O)C=C,[ 19469312  85244370  97181807 ...  16631887  43796935 151237944],Polyfluoroalkyl acids,PolyFCA derivatives,3,3030
CCCN(CCOP(=O)(O)O)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,CCCN(CCOP(O)(O)=O)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[207530443  33988699  17313015 ... 136323818  55416695 151237944],PFAA precursors,PASF-based substances,2,3031
Fc1cc(F)c(F)c(C(F)(F)C(F)(F)C(F)(F)F)c1F,FC1=CC(F)=C(F)C(=C1F)C(F)(F)C(F)(F)C(F)(F)F,[247172861 190309893 107816900 ... 176223008 281920279 107724166],Other PFASs,Aromatic PFASs,4,3032
O=C(F)C(F)(OC(F)(C(F)(F)F)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F,FC(=O)C(F)(OC(F)(C(F)(F)F)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F,[   853465   9635651 107816900 ...  65408281  23638503  11386548],PFAA precursors,PAECFs,2,3033
FC(F)(F)C(F)(F)C(F)(F)OC1(F)C(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)C(F)(F)F)C1(F)F,FC(F)(F)C(F)(F)C(F)(F)OC1(F)C(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)C(F)(F)F)C1(F)F,[140670076  58869667 107816900 ...  88808901  23638503  71007262],"Other PFASs, cyclic","Perfluoroalkylethers, cyclic",4,3034
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)I,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)I,[235162622 104111782  63064138 ...  53870161 281920279 151237944],PFAA precursors,PFAIs,2,3035
OC(COc1ccccc1)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,OC(COC1=CC=CC=C1)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[250618452 104111782  97181807 ... 171882282  43796935 151237944],Other PFASs,Aromatic PFASs,4,3036
CCCCCCCCCCCCCCCCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,CCCCCCCCCCCCCCCCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[250618452 104111782  97181807 ...  16631887  43796935 151237944],PFAA precursors,HFCs,2,3037
O=C(Nc1ccccc1)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CCOC(=O)NC1=CC=CC=C1,[ 41190720 104111782  47004287 ... 171882282  43796935 151237944],Other PFASs,Aromatic PFASs,4,3038
CCN(C)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,CCN(C)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[ 34574211  33988699  17313015 ... 136323818 138388023 151237944],PFAA precursors,PASF-based substances,2,3039
OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F,OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F,[250618452 137369255 107816900 ...  88808901  43796935  10360726],PFAA precursors,PolyFACs,2,3040
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[250618452 104111782  97181807 ...  16631887  43796935 151237944],PFAA precursors,HFCs,2,3041
O=C(OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F)c1cc([N+](=O)[O-])cc2c1-c1c(cc([N+](=O)[O-])cc1[N+](=O)[O-])C2=O,[O-][N+](=O)C1=CC(=C2C(=C1)C(=O)C1=C2C(=CC(=C1)[N+]([O-])=O)C(=O)OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F)[N+]([O-])=O,[  7060930 104111782  78177578 ...  56392319  72176439  46460802],Other PFASs,Aromatic PFASs,4,3042
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C1OCOO1,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C1OCOO1,[ 5984962 17810509 37924863 ... 28746685 14967527  9718896],"PFAA precursors, cyclic","HFEs, cyclic",2,3043
CCCC(=O)C(F)(F)C(F)(F)C(F)(F)F,CCCC(=O)C(F)(F)C(F)(F)C(F)(F)F,[250618452 245019154 107816900 ... 437241134  28593399  75695922],PFAA precursors,PFAK derivatives,2,3044
FC(F)(F)C(F)(OCCC[Si](Cl)(Cl)Cl)C(F)(F)F,FC(F)(F)C(F)(OCCC[Si](Cl)(Cl)Cl)C(F)(F)F,[   853465 384086492 232751249 ... 353831813 397902759 181442098],Other PFASs,Si PFASs,4,3045
Nc1ccc(-c2n[nH]c(C(F)(F)C(F)(F)C(F)(F)F)n2)cc1,NC1=CC=C(C=C1)C1=NNC(=N1)C(F)(F)C(F)(F)C(F)(F)F,[200527237  79512453 107816900 ... 193690869 111393351 107724166],Other PFASs,Aromatic PFASs,4,3046
Cc1cc(C(F)(F)C(F)(F)C(F)(F)F)c(C=O)[nH]1,CC1=CC(=C(N1)C=O)C(F)(F)C(F)(F)C(F)(F)F,[153493504 254025163  72807929 ...  12165170 281920279 107724166],Other PFASs,Aromatic PFASs,4,3047
FC(F)(F)C(F)(F)C(F)(F)C(Cl)(C(F)(F)F)C(F)(F)F,FC(F)(F)C(F)(F)C(F)(F)C(Cl)(C(F)(F)F)C(F)(F)F,[111000236 401282518 107816900 ...  81627266 281920279 114957146],Other PFASs,Polyfluoroalkanes,4,3048
CCO[Si](C)(CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)OCC,CCO[Si](C)(CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)OCC,[ 63786115  20552307  14316170 ... 171882282  43796935  92044918],Other PFASs,Si PFASs,4,3049
CCOC(=O)CC(=O)CCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,CCOC(=O)CC(=O)CCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[ 19469312 104111782  14316170 ...  16631887 124409255 149295334],Polyfluoroalkyl acids,PolyFCA derivatives,3,3050
CCC(C)S(=O)c1c(C(F)(C(F)(F)F)C(F)(F)F)ccc(C(=O)O)c1C,CCC(C)S(=O)C1=C(C)C(=CC=C1C(F)(C(F)(F)F)C(F)(F)F)C(O)=O,[ 52793636 163341492  17313015 ...  63751395  38941671  61560508],Other PFASs,Aromatic PFASs,4,3051
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)N(C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)N(C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[250618452 136288057  62348548 ... 317852915 281920279 144588076],Other PFASs,Perfluoroalkyl-tert-amines,4,3052
CCOC(=O)C1C(c2ccccc2)C(C(=O)OCC)C(O)(C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)OC1(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,CCOC(=O)C1C(C(C(=O)OCC)C(O)(OC1(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C1=CC=CC=C1,[ 19469312  43084499  14316170 ... 142966344 281920279  29516144],Other PFASs,Aromatic PFASs,4,3053
O=S(=O)(N[n+]1ccccc1)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)S(=O)(=O)N[N+]1=CC=CC=C1,[250618452 104111782  17313015 ... 136323818 219094599 151237944],Other PFASs,Aromatic PFASs,4,3054
FC(F)(F)C(F)(F)C(F)(F)OC(F)(C(F)(F)F)C(F)(F)c1ccc(P(c2ccc(C(F)(F)C(F)(OC(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F)cc2)c2ccc(C(F)(F)C(F)(OC(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F)cc2)cc1,FC(F)(F)C(F)(F)C(F)(F)OC(F)(C(F)(F)F)C(F)(F)C1=CC=C(C=C1)P(C1=CC=C(C=C1)C(F)(F)C(F)(OC(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F)C1=CC=C(C=C1)C(F)(F)C(F)(OC(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F,[   853465  26010106 107816900 ... 228179022  23638503  71007262],Other PFASs,Aromatic PFASs,4,3055
FC(F)(F)C(F)(C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CCI,FC(F)(F)C(F)(C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CCI,[250618452 215423514 107816900 ...  88808901  43796935  24985098],Other PFASs,Polyfluoroalkanes,4,3056
O=C(O)CC(F)(C(F)(F)F)C(F)(F)F,OC(=O)CC(F)(C(F)(F)F)C(F)(F)F,[354323625 337706872 232751249 ...  22064307 422801479 261466434],Polyfluoroalkyl acids,PolyFCAs,3,3057
CCCCC(CC)COC(=O)C(F)(OC(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F,CCCCC(CC)COC(=O)C(F)(OC(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F,[   853465  90791381 107816900 ... 200578621  23638503  71007262],Polyfluoroalkyl acids,PolyFCA derivatives,3,3058
CCCCCCCCCCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,CCCCCCCCCCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[250618452 104111782  97181807 ...  16631887  43796935 151237944],PFAA precursors,HFCs,2,3059
FC(F)(F)C(F)(F)C(F)(C(F)(C(F)(F)F)C(F)(F)F)C(F)(C(F)(F)F)C(F)(F)F,FC(F)(F)C(F)(F)C(F)(C(F)(C(F)(F)F)C(F)(F)F)C(F)(C(F)(F)F)C(F)(F)F,[131055218 411855570 107816900 ... 114893012  68472071  15587864],Other PFASs,Perfluoroalkanes,4,3060
FC(F)(F)C(F)(F)OC(F)(F)C(F)(OC(F)(F)C(F)(OC(F)(F)C(F)(OC(F)(F)C(F)(F)Br)C(F)(F)F)C(F)(F)F)C(F)(F)F,FC(F)(F)C(F)(F)OC(F)(F)C(F)(OC(F)(F)C(F)(OC(F)(F)C(F)(OC(F)(F)C(F)(F)Br)C(F)(F)F)C(F)(F)F)C(F)(F)F,[   853465   9635651  33612732 ... 198358795  69108455  36136210],Other PFASs,PFPEs,4,3061
O=C(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,FC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[101390333  15733760  97181807 ...  18403413 281920279  65634510],PFAA precursors,PACFs,2,3062
CCC(C)OC(=O)C(F)(OC(F)(F)C(F)(OC(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F)C(F)(F)F,CCC(C)OC(=O)C(F)(OC(F)(F)C(F)(OC(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F)C(F)(F)F,[   853465   9635651 107816900 ... 291378977  23638503  71007262],Polyfluoroalkyl acids,PolyFCA derivatives,3,3063
OC(C(F)(F)F)(C(F)(F)F)C(F)(F)F,OC(C(F)(F)F)(C(F)(F)F)C(F)(F)F,[862106024 824893065 232751249 ... 186412826 768551031 147560248],PFAA precursors,PFACs,2,3064
CCCC/C(I)=C/C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,CCCC\C(I)=C\C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[216993070 104111782  97181807 ... 200578621  14046279 151237944],PFAA precursors,PolyFAenes,2,3065
FC(F)(Br)OC(F)(F)C(F)(F)OC(F)(F)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)OC(F)(F)C(F)(F)OC(F)(F)C(F)(F)OC(F)(F)Br,[ 18855818 154310012 107816900 ... 108841768 101296679  81710418],Other PFASs,PFPEs,4,3066
FC(F)(F)C(F)(Cl)C(F)(Cl)C(F)(F)F,FC(F)(F)C(F)(Cl)C(F)(Cl)C(F)(F)F,[111000236 421532993 232751249 ... 611624164 204805015 261466434],Other PFASs,Polyfluoroalkanes,4,3067
CC(O)CNC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,CC(O)CNC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[ 39844693   8492060  97181807 ... 194511214 281920279 151237944],Other PFASs,Amide derivatives,4,3068
CC1(C)Cc2ccccc2C(NNC(=O)C(F)(F)C(F)(F)C(F)(F)F)=N1,CC1(C)CC2=CC=CC=C2C(NNC(=O)C(F)(F)C(F)(F)C(F)(F)F)=N1,[ 15632988   8492060 104624557 ...  35231830  93122487  29516144],Other PFASs,Aromatic PFASs,4,3069
O=C(O)c1ccc(NCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)cc1,OC(=O)C1=CC=C(NCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C=C1,[250618452  33988699  97181807 ... 183967038 111393351 151237944],Other PFASs,Aromatic PFASs,4,3070
CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[250618452 104111782  97181807 ... 171882282  43796935 151237944],PFAA precursors,HFCs,2,3071
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)I,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)I,[235162622 104111782  63064138 ...  53870161 281920279 151237944],PFAA precursors,PFAIs,2,3072
O=C1OC(F)(C(F)(F)F)C(F)(F)OC1(F)C(F)(F)F,FC(F)(F)C1(F)OC(F)(F)C(F)(OC1=O)C(F)(F)F,[   853465   9635651 219293745 ...  81902439  65566791  49474226],"PFAA precursors, cyclic","PAECFs, cyclic",2,3073
CC1(C)OCC(CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)O1,CC1(C)OCC(CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)O1,[250618452  43084499  51763483 ... 171882282  43796935  68678548],"PFAA precursors, cyclic","HFEs, cyclic",2,3074
FC(F)(F)C(F)(F)C(F)(F)c1cc(CCl)ccc1CCl,FC(F)(F)C(F)(F)C(F)(F)C1=C(CCl)C=CC(CCl)=C1,[111000236 227868861  64035427 ... 176223008 281920279  23984290],Other PFASs,Aromatic PFASs,4,3075
C=C(C)COC(F)(C(F)(F)F)C(F)(F)F,CC(=C)COC(F)(C(F)(F)F)C(F)(F)F,[   853465 138710836 122926818 ...  85583055 662187031 261466434],Other PFASs,others,4,3076
CCC(C)Sc1c(C(F)(C(F)(F)F)C(F)(F)F)ccc(C(=O)O)c1C,CCC(C)SC1=C(C)C(=CC=C1C(F)(C(F)(F)F)C(F)(F)F)C(O)=O,[ 52793636  54482690  63360499 ...  63751395  51061831 212443708],Other PFASs,Aromatic PFASs,4,3077
CC(C)O[Si](CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)(OC(C)C)OC(C)C,CC(C)O[Si](CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)(OC(C)C)OC(C)C,[113638662 104111782  97181807 ... 152293210  43796935 151237944],Other PFASs,Si PFASs,4,3078
CCc1c(C(=O)O)ccc(C(F)(C(F)(F)F)C(F)(F)F)c1S(C)(=O)=O,CCC1=C(C(=CC=C1C(O)=O)C(F)(C(F)(F)F)C(F)(F)F)S(C)(=O)=O,[ 52793636  34348060   6498670 ... 183967038 199751095  11852866],Other PFASs,Aromatic PFASs,4,3079
O=C(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F,FC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F,[101390333  15733760 107816900 ...  18403413  53184391  65634510],PFAA precursors,PACFs,2,3080
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)Br,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)Br,[187774998 379938482  33612732 ... 139832924  21348103 124993638],Other PFASs,Polyfluoroalkanes,4,3081
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)/C=C/I,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)\C=C\I,[216993070 104111782  97181807 ... 162989940  14046279 151237944],PFAA precursors,PolyFAenes,2,3082
CN(C)CCCNCC(O)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F,CN(C)CCCNCC(O)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F,[250618452   1815513 107816900 ...  88808901  43796935 151237944],Other PFASs,others,4,3083
CCN(CCOC(C)CO)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,"CCN(CCOC(C)CO)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F |lp:2:1,5:2,9:2,11:2,12:2,14:3,15:3,17:3,18:3,20:3,21:3,23:3,24:3,26:3,27:3,29:3,30:3,31:3,Sg:n:8,7,6,5::ht|",[ 34574211  33988699  17313015 ... 136323818  33758967 151237944],PFAA precursors,PASF-based substances,2,3084
C=COCC(F)(F)C(F)(F)C(F)(F)C(F)F,FC(F)C(F)(F)C(F)(F)C(F)(F)COC=C,[ 35941647 429712812  31694403 ... 286019159 163931591  46460802],Other PFASs,others,4,3085
CCCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,CCCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[250618452 104111782  97181807 ...  16631887  43796935 151237944],PFAA precursors,HFCs,2,3086
CNC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,CNC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[ 39844693   8492060  97181807 ... 194511214 281920279 130467758],Other PFASs,Amide derivatives,4,3087
